user_id (N),description (S),follower_count (N),friends_count (N),interests (M),interests_count (N),last_tweet_id (N),location (S),name (S),profile_image_url (S),profile_url (S),screen_name (S),statuses_count (N)
397987145,"CTO at Cognician, a platform to help improve people's thinking. Clojure, ClojureScript with Om, and Datomic enthusiast!",733,282,"{  ""12011"" : { ""S"" : ""ClojureScript"" },  ""1402"" : { ""S"" : ""Emacs"" },  ""2535"" : { ""S"" : ""Lisp (programming language)"" },  ""3582"" : { ""S"" : ""Programming"" },  ""3829"" : { ""S"" : ""Ruby (programming language)"" },  ""4083"" : { ""S"" : ""Software Engineering"" },  ""4800"" : { ""S"" : ""Web Design"" },  ""968"" : { ""S"" : ""Clojure"" }}",8,6.75268E+17,Cape Town,Robert Stuttaford,http://pbs.twimg.com/profile_images/496667049704173569/mXZt999g_normal.jpeg,http:/twitter.com/RobStuttaford,RobStuttaford,6835
5943622,"“I don’t mean you’re all going to be happy. You’ll be unhappy – but in new, exciting and important ways.” – Edwin Land",450241,5520,"{  ""1047"" : { ""S"" : ""Constitutions"" },  ""1836"" : { ""S"" : ""Gun Control"" },  ""18700"" : { ""S"" : ""Guns"" },  ""2689"" : { ""S"" : ""Markets"" },  ""3235"" : { ""S"" : ""NRA"" },  ""3261"" : { ""S"" : ""Occupy Wall Street"" },  ""3409"" : { ""S"" : ""Paul Ryan"" },  ""3525"" : { ""S"" : ""Politics"" },  ""3731"" : { ""S"" : ""Republican Party"" },  ""4232"" : { ""S"" : ""Stock Market"" },  ""4760"" : { ""S"" : ""Wall Street Journal"" },  ""4768"" : { ""S"" : ""Warren Buffett"" },  ""4777"" : { ""S"" : ""Washington Post"" },  ""907"" : { ""S"" : ""China"" }}",14,6.75352E+17,"Menlo Park, CA",Marc Andreessen,http://pbs.twimg.com/profile_images/649108987128868864/rWnwMe55_normal.jpg,http:/twitter.com/pmarca,pmarca,79401
126358576,Sorry I have no description,150,60,"{  ""1521"" : { ""S"" : ""FIFA World Cup"" },  ""3686"" : { ""S"" : ""Real Madrid"" },  ""3810"" : { ""S"" : ""Ronaldo"" },  ""4071"" : { ""S"" : ""Soccer"" },  ""876"" : { ""S"" : ""Chelsea Football Club"" }}",5,6.63753E+17,"Earth, Milky Way",Siddhesh Mhatre,http://pbs.twimg.com/profile_images/671589360953892864/BVmxHsqN_normal.jpg,http:/twitter.com/Sid1793,Sid1793,218
2793739158,Sorry I have no description,40,66,{},0,-1,Mumbai,Parth Parekh,http://pbs.twimg.com/profile_images/510789647513829378/Yi_-LxiU_normal.jpeg,http:/twitter.com/parthrparekh93,parthrparekh93,4
1197619002,"I'm Jonathan Ive, the best fucking designer since Dieter Rams. I fucking invented #Minimaluminiumalism. I hate Samsung. (PARODY, not affiliated with Apple)",48696,5,"{  ""1065"" : { ""S"" : ""Cork"" },  ""1234"" : { ""S"" : ""Design"" },  ""1668"" : { ""S"" : ""Gadget"" },  ""1669"" : { ""S"" : ""Gadgets"" },  ""1762"" : { ""S"" : ""GNU"" },  ""199"" : { ""S"" : ""Android"" },  ""20696"" : { ""S"" : ""iPod"" },  ""2142"" : { ""S"" : ""iPad"" },  ""2144"" : { ""S"" : ""iPhone"" },  ""2145"" : { ""S"" : ""iPhone Apps"" },  ""244"" : { ""S"" : ""Apple Inc."" },  ""2517"" : { ""S"" : ""Lightning"" },  ""2530"" : { ""S"" : ""Linux"" },  ""25330"" : { ""S"" : ""Mac OS X"" },  ""2890"" : { ""S"" : ""Mobile Phones"" },  ""29805"" : { ""S"" : ""Operating Systems"" },  ""3581"" : { ""S"" : ""Profanity"" },  ""37"" : { ""S"" : ""Adobe Systems"" },  ""3991"" : { ""S"" : ""Sex Pistols"" },  ""4010"" : { ""S"" : ""Shopping"" },  ""43234"" : { ""S"" : ""Xbox"" },  ""4391"" : { ""S"" : ""Thanksgiving"" },  ""4800"" : { ""S"" : ""Web Design"" },  ""502"" : { ""S"" : ""Best Buy"" },  ""551"" : { ""S"" : ""Black Friday"" },  ""5711"" : { ""S"" : ""Adobe Photoshop"" }}",26,6.75436E+17,A White Room,not Jony Ive,http://pbs.twimg.com/profile_images/672181054162251781/1mgCLtgV_normal.jpg,http:/twitter.com/JonyIveParody,JonyIveParody,12918
68302155,"Software engineer, musician, host for http://t.co/dLnWwpgvRC",366,1950,"{  ""1022"" : { ""S"" : ""Computer Games"" },  ""1058"" : { ""S"" : ""Conversation"" },  ""1113"" : { ""S"" : ""Culture"" },  ""1174"" : { ""S"" : ""David Foster Wallace"" },  ""15280"" : { ""S"" : ""Electronic Dance Music"" },  ""1675"" : { ""S"" : ""Gambling"" },  ""2086"" : { ""S"" : ""Innovation"" },  ""24810"" : { ""S"" : ""Logic"" },  ""27943"" : { ""S"" : ""Music Industry"" },  ""27947"" : { ""S"" : ""Music Production"" },  ""2972"" : { ""S"" : ""Music"" },  ""308"" : { ""S"" : ""Artificial Intelligence"" },  ""31929"" : { ""S"" : ""Puns"" },  ""34969"" : { ""S"" : ""Sharing Economy"" },  ""3518"" : { ""S"" : ""Poker"" },  ""3670"" : { ""S"" : ""Random"" },  ""3900"" : { ""S"" : ""San Francisco, California"" },  ""4341"" : { ""S"" : ""Technology"" },  ""705"" : { ""S"" : ""Business"" },  ""801"" : { ""S"" : ""Casinos"" },  ""9059"" : { ""S"" : ""Bitcoin"" }}",21,6.74284E+17,Seattle,Jeff Meyerson,http://pbs.twimg.com/profile_images/627634074622955520/fJ0Yzfog_normal.jpg,http:/twitter.com/the_prion,the_prion,2087
115485051,"The voice of the people. Sorry, people.",18959624,1,"{  ""1107"" : { ""S"" : ""Cuba"" },  ""1953"" : { ""S"" : ""Hollywood"" },  ""24031"" : { ""S"" : ""Laughing"" },  ""2449"" : { ""S"" : ""Larry King"" },  ""4391"" : { ""S"" : ""Thanksgiving"" },  ""4533"" : { ""S"" : ""Twins"" },  ""927"" : { ""S"" : ""Christmas"" }}",7,6.75392E+17,Los Angeles,Conan O'Brien,http://pbs.twimg.com/profile_images/728337241/conan_4cred_normal.jpg,http:/twitter.com/ConanOBrien,ConanOBrien,2287
8180272,Webby with a big focus on content strategy and UX. Founder of Lagom Strategy.,470,225,"{  ""1049"" : { ""S"" : ""Consultants"" },  ""1234"" : { ""S"" : ""Design"" },  ""12438"" : { ""S"" : ""Content Marketing"" },  ""12439"" : { ""S"" : ""Content Strategy"" },  ""12484"" : { ""S"" : ""Copywriting"" },  ""14088"" : { ""S"" : ""Digital Marketing"" },  ""2303"" : { ""S"" : ""Journalism"" },  ""2651"" : { ""S"" : ""Management"" },  ""3579"" : { ""S"" : ""Production"" },  ""36703"" : { ""S"" : ""Strategy"" },  ""3941"" : { ""S"" : ""Scotland"" },  ""42433"" : { ""S"" : ""Web Development"" },  ""4301"" : { ""S"" : ""Sydney"" },  ""4575"" : { ""S"" : ""United Kingdom"" },  ""4666"" : { ""S"" : ""User Experience"" },  ""4800"" : { ""S"" : ""Web Design"" },  ""557"" : { ""S"" : ""Blogs and Blogging"" }}",17,6.75329E+17,UK,Liam King,http://pbs.twimg.com/profile_images/378800000692406199/ca043aa962d85f8c05fb392d42e2488a_normal.jpeg,http:/twitter.com/liamking,liamking,395
2203796364,angry and fluffy,180,202,"{  ""12796"" : { ""S"" : ""Crying"" },  ""1519"" : { ""S"" : ""Fiction"" },  ""2000"" : { ""S"" : ""Hugh Grant"" },  ""214"" : { ""S"" : ""Anime"" },  ""22709"" : { ""S"" : ""Karaoke"" },  ""24031"" : { ""S"" : ""Laughing"" },  ""2493"" : { ""S"" : ""Leonard Cohen"" },  ""2598"" : { ""S"" : ""Love"" },  ""2623"" : { ""S"" : ""Mad Men"" },  ""2654"" : { ""S"" : ""Manga"" },  ""2893"" : { ""S"" : ""Moby"" },  ""3618"" : { ""S"" : ""Pumpkins"" },  ""42435"" : { ""S"" : ""Webcomic"" },  ""4328"" : { ""S"" : ""Tattoos"" },  ""542"" : { ""S"" : ""Birthdays"" },  ""755"" : { ""S"" : ""Candy"" },  ""927"" : { ""S"" : ""Christmas"" }}",17,6.75535E+17,jerzey shore,tawny hawk,http://pbs.twimg.com/profile_images/653402386157932544/DSev7flk_normal.jpg,http:/twitter.com/prissyalt,prissyalt,11057
38479920,YOU clicked on ME.I didn't force you to do this so it's YOUR fault if you're offended.File a complaint against yourself.,229549,626,"{  ""1533"" : { ""S"" : ""Fingers"" },  ""1677"" : { ""S"" : ""Gaming"" },  ""19982"" : { ""S"" : ""Hugging"" },  ""2065"" : { ""S"" : ""India"" },  ""2386"" : { ""S"" : ""Kissing"" },  ""24031"" : { ""S"" : ""Laughing"" },  ""24482"" : { ""S"" : ""Liberalism"" },  ""2534"" : { ""S"" : ""Liquor"" },  ""31929"" : { ""S"" : ""Puns"" },  ""32139"" : { ""S"" : ""Racism"" },  ""3581"" : { ""S"" : ""Profanity"" },  ""3648"" : { ""S"" : ""Radio"" },  ""3670"" : { ""S"" : ""Random"" },  ""3732"" : { ""S"" : ""Rescues"" },  ""4533"" : { ""S"" : ""Twins"" },  ""4534"" : { ""S"" : ""Twitter"" },  ""68"" : { ""S"" : ""Air Pollution"" },  ""8449"" : { ""S"" : ""Beards"" }}",18,6.75393E+17,Wherever my Phone is.,José Covaco,http://pbs.twimg.com/profile_images/655896435985154048/CY-3p2jx_normal.jpg,http:/twitter.com/HoeZaay,HoeZaay,58078
